,predictions,groundtruths
0,12.127958,48.89999999999999
1,9.499537,45.55
2,8.5607395,42.2
3,9.460125,23.8
4,10.974793,13.8
5,8.311789,29.9
6,11.289428,27.7
7,14.00654,34.3
8,16.72817,42.2
9,21.61508,36.0
10,27.676144,30.6
11,30.060707,30.4
12,18.492744,38.9
13,14.979508,42.5
14,13.306065,37.9
15,15.229351,34.3
16,17.184015,29.9
17,13.809706,25.200000000000003
18,18.400936,25.9
19,23.553398,25.7
20,28.402327,28.1
21,34.262016,26.6
22,41.957123,30.0
23,43.820328,38.1
24,23.061768,51.8
25,17.457754,39.9
26,15.063957,41.2
27,16.849953,35.1
28,18.5613,27.0
29,14.938779,27.6
30,19.67128,21.5
31,25.521723,18.8
32,30.064081,15.400000000000002
33,36.014725,17.0
34,43.635365,23.3
35,45.672073,28.5
36,17.042397,19.6
37,13.768517,24.8
38,12.290374,23.8
39,13.950324,23.8
40,15.782212,20.0
41,12.695293,16.6
42,16.772419,13.2
43,21.425426,17.6
44,25.17398,27.000000000000004
45,30.333836,37.7
46,36.97833,33.4
47,38.640026,27.699999999999992
48,17.130491,23.7
49,13.6314745,28.8
50,12.069355,23.0
51,13.480268,17.2
52,15.200501,14.1
53,12.267201,13.199999999999998
54,15.4677515,12.6
55,19.361889,14.3
56,22.540272,16.5
57,26.247416,22.5
58,30.958675,18.1
59,31.704138,16.5
60,9.1472845,23.4
61,8.75633,24.3
62,8.445364,21.3
63,9.843001,25.1
64,11.8145075,24.4
65,9.377234,24.2
66,12.649861,42.3
67,15.532296,46.2
68,18.514774,39.5
69,22.874178,8.2
70,28.351051,2.3
71,29.551245,1.7
72,2.7921414,6.6000000000000005
73,5.0287733,12.2
74,5.5359898,17.8
75,6.9751987,10.2
76,9.426257,9.4
77,7.2195125,10.400000000000002
78,9.879082,9.2
79,11.486072,8.3
80,14.558973,9.2
81,18.432135,12.9
82,23.738482,11.5
83,24.622595,9.6
84,6.0056124,3.6
85,6.8756256,3.8999999999999995
86,6.9661117,8.5
87,8.0531845,10.1
88,10.257553,11.600000000000001
89,8.174947,10.7
90,10.501704,12.5
91,12.320231,13.4
92,13.98177,19.5
93,16.37588,13.1
94,19.396124,9.6
95,19.061317,7.2
96,5.8186817,3.0000000000000004
97,5.22139,4.4
98,4.867399,8.2
99,4.897013,13.2
100,6.7645555,10.400000000000002
101,4.5452967,6.9
102,5.4188533,8.3
103,5.24631,9.0
104,6.040105,10.5
105,7.8159533,6.8999999999999995
106,10.309744,13.4
107,10.733407,18.400000000000002
108,10.92422,21.7
109,9.312114,21.2
110,8.503356,14.4
111,9.366807,15.100000000000001
112,11.256236,17.3
113,8.892484,16.2
114,11.226238,17.3
115,13.547075,16.9
116,15.149126,20.1
117,17.722214,28.2
118,20.716927,33.8
119,20.727545,26.199999999999992
120,15.361192,6.300000000000001
121,11.313266,13.9
122,9.65674,23.5
123,10.233512,26.100000000000005
124,11.810376,16.9
125,9.008332,8.4
126,11.09695,6.3
127,13.213737,6.8999999999999995
128,15.385336,8.4
129,18.311693,9.9
130,22.009228,12.9
131,22.838707,12.1
132,7.331442,14.1
133,7.3233743,14.3
134,7.0786843,12.599999999999998
135,8.010078,9.4
136,10.139568,9.3
137,7.937357,8.5
138,10.124712,9.8
139,11.850428,11.2
140,13.544711,13.399999999999999
141,15.9864025,16.6
142,18.925861,24.75
143,18.81581,32.89999999999999
144,20.05379,8.2
145,13.639421,5.2
146,11.016412,4.4
147,11.047822,7.1
148,12.320483,9.8
149,9.349699,7.8
150,10.885289,8.9
151,13.001994,9.4
152,13.927351,10.0
153,15.781291,10.5
154,18.337105,8.7
155,18.868423,9.200000000000001
156,5.3190928,9.6
157,5.807907,9.1
158,5.774361,6.7
159,6.538638,6.2
160,8.588045,6.9
161,6.5696673,9.0
162,8.428339,9.5
163,9.546998,9.8
164,10.971804,15.5
165,13.304748,19.3
166,16.051716,36.0
167,16.10251,34.7
168,20.54963,33.4
169,14.197015,19.7
170,11.532623,15.699999999999998
171,11.758684,14.2
172,13.039836,9.7
173,10.114101,9.300000000000002
174,11.835448,9.55
175,14.239956,9.8
176,15.445691,9.2
177,17.275425,11.0
178,19.637985,10.6
179,19.935417,11.2
180,5.9060626,8.6
181,6.0971217,7.299999999999999
182,6.01122,6.199999999999999
183,6.8769455,6.3
184,8.897011,6.3
185,6.763625,6.5
186,9.015062,7.3999999999999995
187,10.453115,13.100000000000001
188,12.394886,23.9
189,15.590056,36.3
190,19.28642,36.6
191,19.991455,48.79999999999999
192,27.415516,48.1
193,18.160301,16.3
194,14.233202,12.9
195,14.338054,11.3
196,15.303753,9.2
197,12.0259905,7.3
198,13.874528,9.7
199,17.043367,10.1
200,18.055538,10.3
201,19.689816,14.800000000000002
202,21.77858,12.3
203,22.42824,7.8
204,3.6466444,4.2
205,4.5672674,4.0
206,4.8743,2.8
207,5.7625437,2.5
208,7.7247186,3.9
209,5.6676893,3.5
210,8.158672,6.1
211,9.341742,13.0
212,11.798432,18.6
213,16.002157,34.2
214,20.96227,127.1
215,22.55345,144.6
216,65.938354,92.1
