,predictions,groundtruths
0,24.967318,42.1
1,20.813173,38.2
2,19.714773,33.8
3,20.218275,20.199999999999996
4,20.242485,10.3
5,18.650965,11.4
6,23.000368,16.649999999999995
7,20.273304,21.9
8,37.14914,21.1
9,34.404213,31.199999999999996
10,28.295675,33.2
11,25.300688,38.7
12,32.11375,42.2
13,26.049976,45.8
14,24.268406,42.20000000000001
15,24.342266,43.1
16,23.811335,38.3
17,21.733929,29.4
18,26.371796,34.1
19,23.415014,41.4
20,42.886887,41.6
21,39.91129,36.0
22,32.164932,36.4
23,29.057102,43.8
24,36.573418,39.7
25,29.806152,38.8
26,27.673746,32.6
27,27.797283,27.5
28,27.373734,24.6
29,24.565216,23.7
30,29.898298,24.2
31,26.648493,25.6
32,49.882187,30.2
33,46.80421,37.4
34,37.71862,39.8
35,34.201942,27.8
36,21.094194,25.8
37,18.634207,22.5
38,18.240238,16.4
39,19.339272,19.099999999999998
40,19.984247,16.1
41,18.459738,12.8
42,23.269634,10.0
43,20.120447,17.500000000000004
44,38.48398,26.2
45,35.69625,38.5
46,29.515726,32.5
47,26.268698,25.3
48,21.025791,25.099999999999998
49,17.835274,26.799999999999997
50,17.13248,26.600000000000005
51,17.769377,26.1
52,17.968628,25.3
53,16.819117,24.3
54,20.579626,23.200000000000003
55,17.801718,25.099999999999998
56,32.707905,26.7
57,29.527035,19.400000000000002
58,24.230421,14.600000000000001
59,21.337652,12.6
60,10.867152,17.0
61,9.254822,16.6
62,9.250137,15.1
63,10.176356,20.5
64,10.804919,18.7
65,9.941701,19.0
66,13.885597,28.499999999999996
67,11.923777,41.9
68,22.755133,36.0
69,21.865107,9.5
70,20.065157,4.4
71,18.181767,4.2
72,4.792364,7.6
73,5.0541863,8.75
74,5.6679306,9.9
75,7.050837,10.4
76,8.365595,8.5
77,8.028194,10.600000000000001
78,11.505216,10.2
79,9.565549,10.3
80,18.262497,11.6
81,16.90153,17.600000000000005
82,16.048843,14.099999999999998
83,13.918331,8.9
84,7.488175,4.7
85,6.6065087,6.9
86,6.737746,10.6
87,7.4529533,10.7
88,8.28936,10.0
89,7.974542,10.900000000000002
90,10.718234,15.000000000000002
91,8.857123,16.500000000000004
92,15.809124,19.4
93,13.638705,18.400000000000002
94,12.698075,12.9
95,10.709597,7.1
96,5.467375,3.6000000000000005
97,4.596965,7.9
98,4.8094673,9.8
99,5.5715137,12.600000000000001
100,6.3899617,10.999999999999998
101,6.0081825,10.1
102,9.038605,10.4
103,7.4258857,10.899999999999999
104,13.915753,9.7
105,12.973582,9.7
106,12.909186,13.699999999999998
107,11.39333,18.2
108,15.35462,21.4
109,12.705954,19.8
110,12.1764,14.0
111,12.583578,12.3
112,13.052169,15.200000000000001
113,12.192925,15.3
114,15.588584,16.7
115,13.472081,19.500000000000004
116,23.935877,19.8
117,21.524323,25.899999999999995
118,18.42687,32.7
119,15.996138,27.0
120,21.210283,10.1
121,16.825274,12.900000000000002
122,15.612972,20.9
123,15.666897,28.000000000000004
124,15.615029,21.9
125,14.259135,13.300000000000002
126,17.731522,8.4
127,15.324511,9.4
128,28.021118,8.2
129,25.645723,16.1
130,21.65387,37.7
131,19.337622,38.5
132,30.991327,39.5
133,25.111685,41.4
134,23.34955,41.60000000000001
135,23.273804,43.3
136,22.891327,44.1
137,20.969793,46.5
138,25.347687,46.6
139,22.409666,42.4
140,40.589012,39.9
141,37.30878,40.0
142,29.796818,39.5
143,26.654913,36.9
144,29.641258,38.0
145,24.065018,38.4
146,22.471325,38.1
147,22.761612,37.4
148,22.687508,37.6
149,20.361881,37.5
150,25.07359,37.4
151,22.072723,38.0
152,41.787598,38.8
153,39.07472,40.2
154,32.008835,41.3
155,28.930387,42.4
156,34.762337,43.400000000000006
157,29.286564,44.2
158,27.498447,44.5
159,28.008743,45.00000000000001
160,28.103472,45.6
161,25.318113,46.5
162,30.946785,49.9
163,27.34378,45.6
164,51.744545,42.2
165,48.21126,41.1
166,38.915016,40.8
167,34.934162,39.3
168,32.331882,38.6
