,predictions,groundtruths
0,10.562224,38.4
1,9.246613,49.0
2,8.616233,30.9
3,9.700356,15.9
4,9.644706,10.2
5,6.8709774,21.4
6,9.177921,19.2
7,11.432145,25.2
8,13.525687,30.9
9,16.954895,27.500000000000004
10,22.183758,24.1
11,23.630495,24.0
12,15.841724,34.3
13,14.765939,40.3
14,13.161926,34.9
15,15.398481,29.399999999999995
16,16.023651,27.2
17,12.5379715,23.4
18,15.362229,30.600000000000005
19,19.647877,29.6
20,22.988396,27.999999999999996
21,26.741484,25.299999999999997
22,32.39539,30.3
23,32.881397,35.1
24,23.112822,41.8
25,19.109758,34.0
26,15.885431,28.4
27,18.003942,22.8
28,18.257757,18.500000000000004
29,14.122878,20.2
30,16.855776,16.1
31,21.975788,13.0
32,25.54512,11.3
33,29.693901,12.499999999999998
34,35.59905,19.0
35,36.68405,26.4
36,17.347586,20.7
37,15.48337,23.3
38,13.584983,22.4
39,15.587039,22.9
40,16.031094,22.2
41,12.567631,19.1
42,15.226854,14.9
43,19.623543,20.6
44,22.197018,27.400000000000002
45,25.588732,41.3
46,30.780495,35.1
47,31.127659,25.4
48,16.582756,21.500000000000004
49,14.317607,23.1
50,12.421351,18.4
51,14.046533,12.8
52,14.205164,10.9
53,10.9231825,10.5
54,12.833294,9.7
55,16.027943,10.3
56,18.578196,13.6
57,21.068575,24.1
58,25.371801,22.1
59,25.67668,21.5
60,13.2387495,25.3
61,12.611045,28.4
62,11.596981,22.2
63,13.507506,23.7
64,13.95183,22.0
65,10.909729,21.9
66,13.548701,37.7
67,17.180481,44.1
68,19.729893,25.200000000000003
69,22.978722,6.3
70,27.891914,2.1
71,28.214172,1.3
72,2.6382282,5.6000000000000005
73,4.560011,9.35
74,5.540282,13.1
75,6.8686967,7.700000000000001
76,7.4985795,7.1
77,5.244001,7.6
78,7.3400264,6.9
79,8.507779,6.5
80,10.6899395,7.5
81,13.23889,11.1
82,17.876207,10.9
83,18.39195,8.8
84,6.2870774,4.8
85,7.5745306,4.9
86,7.862362,8.9
87,9.192257,10.0
88,9.795257,11.2
89,7.5931306,10.9
90,9.280593,14.0
91,11.073542,12.6
92,12.186588,11.8
93,13.25997,12.1
94,15.716301,9.0
95,14.792022,5.2
96,4.171596,2.2
97,4.3835177,3.2
98,4.846787,5.0
99,5.113906,6.3
100,5.2363615,7.599999999999999
101,3.0935616,5.6
102,4.3247848,6.9
103,4.3205094,6.8
104,5.1191897,8.6
105,6.396348,8.4
106,9.267845,12.3
107,9.614669,18.3
108,12.393909,21.6
109,11.300181,22.5
110,10.168819,14.299999999999999
111,11.348815,18.5
112,11.655181,18.600000000000005
113,9.003623,16.8
114,10.5852785,13.700000000000001
115,13.081465,13.8
116,14.13306,18.1
117,15.351884,24.4
118,17.759512,30.4
119,17.077093,21.8
120,12.852887,6.1000000000000005
121,10.554436,9.3
122,9.30388,16.8
123,10.113437,17.7
124,10.066615,12.1
125,7.1402926,6.2
126,8.885683,5.1
127,10.681697,5.1
128,12.576357,6.4
129,15.016282,8.0
130,19.001688,11.0
131,19.79209,11.9
132,8.454877,13.5
133,8.748466,13.399999999999999
134,8.476981,14.0
135,9.645144,12.2
136,10.182056,10.3
137,7.791369,9.899999999999999
138,9.344617,10.4
139,11.208927,16.2
140,12.240702,14.7
141,13.225275,15.6
142,15.476668,21.5
143,14.572121,27.4
144,18.103662,7.7
145,13.706555,5.3
146,11.150465,3.8
147,11.479265,5.8
148,11.171407,6.9
149,7.929259,5.5
150,9.092312,6.8
151,11.050986,7.3
152,11.93535,11.0
153,13.447192,12.799999999999999
154,16.613518,11.6
155,17.10762,12.9
156,8.860149,15.899999999999999
157,8.961644,13.499999999999998
158,8.602363,7.6
159,9.789666,10.8
160,10.225053,11.0
161,7.8243265,12.8
162,9.430354,11.1
163,11.372105,12.0
164,12.506221,15.2
165,13.676144,18.4
166,16.086262,26.9
167,15.344679,27.0
168,17.37604,27.1
169,13.472882,16.4
170,11.117794,12.6
171,11.673208,11.2
172,11.449843,8.0
173,8.28476,6.8
174,9.574556,6.7
175,11.665612,10.400000000000002
176,12.837706,9.4
177,14.455264,12.799999999999999
178,17.635149,13.200000000000001
179,17.982248,14.9
180,9.963497,10.100000000000001
181,9.794,9.4
182,9.254485,8.1
183,10.571139,10.5
184,11.048414,12.7
185,8.472521,12.299999999999999
186,10.29256,14.6
187,12.594629,20.9
188,14.025952,23.5
189,15.630585,33.900000000000006
190,18.49967,33.8
191,17.958569,42.8
192,27.008486,29.4
193,19.914661,16.0
194,15.414237,12.199999999999998
195,16.013624,10.4
196,15.457664,8.0
197,11.539569,5.9
198,12.805776,7.1
199,16.140017,9.6
200,17.364103,11.600000000000001
201,19.152706,15.3
202,22.628086,15.299999999999999
203,23.343988,14.9
204,8.592692,7.9
205,8.945509,10.3
206,8.79488,5.9
207,10.329881,8.0
208,10.781186,8.3
209,8.249729,9.5
210,10.613688,17.05
211,13.101391,24.6
212,15.119777,16.9
213,17.795822,31.9
214,21.916819,105.90000000000002
215,22.086596,118.5
216,61.19233,82.10000000000001
217,42.937973,39.1
218,30.684996,18.4
219,32.071674,15.400000000000002
220,30.036901,10.3
221,23.964087,7.2
222,26.050505,7.8
223,34.7604,9.799999999999999
224,36.49219,10.9
225,40.088577,13.600000000000001
226,44.434143,16.7
227,47.58735,15.1
228,9.108652,9.4
