,predictions,groundtruths
0,29.368034,55.1
1,31.570152,66.4
2,35.201122,77.7
3,20.755257,23.2
4,21.027843,15.499999999999998
5,18.763842,18.8
6,21.680109,31.5
7,22.112814,36.9
8,38.968132,37.9
9,33.087864,45.8
10,32.240017,36.9
11,32.76613,40.300000000000004
12,31.217632,36.2
13,33.600937,37.4
14,37.572582,35.5
15,22.079096,35.1
16,22.38001,38.5
17,19.793816,37.5
18,22.86971,38.0
19,23.382374,43.7
20,42.31031,45.2
21,35.811577,41.6
22,34.981735,39.9
23,35.6322,44.4
24,34.348995,45.8
25,37.23203,49.1
26,41.653965,35.7
27,24.262842,28.9
28,24.632126,35.2
29,21.68876,25.2
30,24.756186,26.100000000000005
31,25.51563,31.6
32,46.621273,32.2
33,38.95373,40.599999999999994
34,37.852108,47.4
35,38.399097,31.2
36,20.768753,22.2
37,24.059256,31.8
38,27.856567,21.4
39,17.64137,23.2
40,18.6362,20.599999999999998
41,16.85888,18.1
42,20.06476,15.0
43,19.799068,18.9
44,36.432102,30.7
45,31.024666,42.89999999999999
46,30.464012,41.9
47,30.719238,34.7
48,26.18105,29.1
49,28.630545,31.7
50,32.28567,32.9
51,19.371367,31.3
52,19.763206,28.9
53,17.915691,26.1
54,20.540558,24.8
55,20.512262,25.700000000000003
56,36.119972,28.7
57,30.28992,26.299999999999997
58,29.05421,22.0
59,29.199553,18.0
60,13.704013,20.6
61,15.220406,19.6
62,17.202625,19.3
63,11.791305,24.0
64,12.671478,22.1
65,11.504846,25.7
66,14.755122,35.800000000000004
67,14.070451,42.6
68,24.678684,37.7
69,22.680132,11.7
70,23.337433,5.2
71,23.987276,5.4
72,5.9201336,9.9
73,7.7129107,13.2
74,9.034125,16.5
75,7.8507547,14.7
76,9.3136635,12.800000000000002
77,8.768498,13.7
78,11.859399,13.900000000000002
79,10.671415,12.3
80,18.002878,17.3
81,17.181627,19.4
82,18.102623,19.0
83,18.145475,14.7
84,11.339115,6.5
85,12.576548,7.1
86,13.962749,12.1
87,9.785773,12.4
88,10.719526,13.0
89,10.026449,14.2
90,12.541257,18.9
91,11.438222,21.3
92,18.225752,21.3
93,16.485674,21.6
94,16.330563,16.4
95,16.099003,10.499999999999998
96,7.6527395,6.1
97,8.173521,9.8
98,8.865007,13.6
99,7.1666627,14.8
100,8.1501665,15.099999999999998
101,7.583242,13.2
102,10.464377,14.8
103,9.142181,15.2
104,14.607779,15.7
105,14.597646,13.1
106,15.32533,17.4
107,15.630446,23.6
108,18.118832,27.7
109,19.414326,28.9
110,21.497509,17.3
111,13.574231,14.5
112,14.263859,18.6
113,12.975861,18.7
114,15.836583,19.600000000000005
115,15.385809,23.100000000000005
116,25.653475,22.5
117,22.715656,30.3
118,22.350023,40.6
119,22.443764,34.2
120,24.598225,11.799999999999999
121,25.60538,18.0
122,28.01551,30.200000000000003
123,16.723278,31.3
124,17.00475,26.4
125,15.234091,13.4
126,17.826254,10.6
127,17.489765,12.7
128,30.22857,9.9
129,26.066372,13.3
130,25.309744,18.4
131,25.678288,20.999999999999996
132,15.681804,16.7
133,17.228693,11.3
134,19.340473,11.300000000000002
135,12.643044,10.0
136,13.517679,10.7
137,12.364455,8.4
138,15.391012,9.2
139,14.804111,11.6
140,24.843016,16.5
141,22.238834,20.6
142,22.143642,27.100000000000005
143,22.259823,20.4
144,15.5237255,13.699999999999998
145,16.022772,5.3
146,16.92682,6.5
147,10.75332,6.299999999999999
148,11.327084,8.3
149,10.395529,11.7
150,12.490604,12.2
151,11.330216,14.2
152,17.39285,12.4
153,15.44392,13.5
154,15.069993,10.1
155,14.877499,8.8
156,6.2266326,9.9
157,6.833555,8.2
158,7.4638653,6.2
159,6.5157604,6.799999999999999
160,7.5786295,7.5
161,7.2183204,8.6
162,10.196008,11.2
163,8.907922,11.2
164,13.823567,13.5
165,13.960402,17.5
166,14.587401,22.200000000000003
167,14.759784,29.4
168,22.18001,36.6
169,22.783295,24.3
170,24.19187,18.5
171,14.4080925,12.9
172,14.704585,12.9
173,13.347063,11.9
174,15.47027,11.4
175,14.916229,12.1
176,23.745932,9.999999999999998
177,20.291258,9.4
178,19.269974,8.3
179,19.174871,9.7
180,6.994359,8.5
181,7.529387,6.8
182,8.185164,5.9
183,6.8794985,5.6
184,7.9398274,6.3
185,7.4771414,5.9
186,10.610951,7.5
187,9.427103,9.7
188,14.894604,16.5
189,15.032596,24.899999999999995
190,15.814239,33.3
191,16.129383,31.3
192,22.035889,18.2
193,22.395884,14.2
194,23.105677,13.7
195,13.581644,12.599999999999998
196,13.781216,11.599999999999998
197,12.550043,9.9
198,14.335233,10.5
199,13.392815,9.6
200,20.479837,9.2
201,17.285883,11.5
202,16.090057,9.3
203,16.047728,4.8
204,4.5,4.5
205,4.0,4.0
206,3.6562004,2.7
207,4.5001483,3.2000000000000006
208,5.584409,3.8
209,5.3592553,4.1
210,8.571236,6.999999999999999
211,7.1114,9.4
212,10.861172,17.3
213,12.252241,23.2
214,13.504593,43.5
215,14.031292,73.2
216,42.128677,59.900000000000006
217,42.2385,30.2
218,43.383045,18.3
219,23.62503,14.0
220,22.590542,10.6
221,20.288153,8.0
222,22.090343,9.0
223,22.493555,8.6
224,36.366943,7.8
225,29.42922,9.7
226,26.795752,6.4
227,27.922148,6.6
228,5.409472,5.6
229,5.7431126,5.7
230,6.323794,3.5
231,5.9570146,4.3
232,6.997623,6.6
233,6.5866537,6.9
234,10.067842,7.7
235,8.863469,10.1
236,14.313194,35.9
237,15.194951,51.3
238,16.723946,66.7
239,17.358704,44.2
240,29.865143,30.499999999999996
241,30.701708,26.2
242,32.071095,20.0
243,18.26371,18.3
244,17.970144,17.399999999999995
245,16.383533,15.7
246,18.206762,15.8
247,17.602345,16.6
248,28.634914,18.7
249,23.424183,17.0
250,21.601364,13.2
251,21.939217,11.4
252,9.616527,9.1
253,10.231049,7.7
254,11.327978,6.700000000000001
255,8.532159,6.6
256,9.462155,8.7
257,8.573569,7.0
258,12.16615,40.39999999999999
259,11.231372,46.9
260,19.3214,91.6
261,19.175642,75.3
262,20.651829,41.9
263,21.514475,33.5
264,26.75443,21.4
265,28.653763,11.5
266,31.357147,7.4
267,18.607176,7.5
268,19.021488,8.3
269,17.24082,9.7
270,19.324905,11.9
271,18.80331,13.7
272,32.73698,15.5
273,26.995207,17.1
274,25.742355,15.8
275,25.51476,17.4
276,12.597157,17.6
277,14.011896,13.1
278,15.84158,12.8
279,10.942568,14.0
280,11.857975,19.599999999999998
281,10.9636965,19.7
282,14.182955,27.5
283,13.435305,41.0
284,22.489735,40.2
285,20.749125,44.8
286,21.071516,42.5
287,21.319838,37.2
288,27.40358,28.200000000000003
289,27.872953,24.8
290,29.862204,8.9
291,17.262577,7.8
292,17.259663,6.400000000000001
293,15.358063,5.9
294,17.591457,6.2
295,17.067343,10.3
296,28.655628,11.3
297,24.416601,16.2
298,23.919739,26.2
299,24.33674,37.7
300,28.15503,37.4
301,29.77743,44.0
302,33.082874,40.1
303,19.376743,42.99999999999999
304,19.558022,43.8
305,17.465675,42.0
306,20.62897,36.2
307,20.979776,19.4
308,36.09792,26.100000000000005
309,31.149963,42.0
310,30.502098,53.6
311,31.059015,50.9
312,35.585228,46.1
313,36.07236,40.8
314,39.455376,35.5
315,22.238674,31.6
316,21.931236,29.000000000000004
317,19.147083,22.2
318,21.965181,26.200000000000003
319,22.317776,24.0
320,39.569725,23.9
321,33.73118,18.9
322,32.99902,16.2
323,34.04311,13.8
324,11.036522,14.100000000000001
325,13.730914,13.4
326,16.19403,16.2
327,11.643919,17.2
328,13.025223,16.299999999999997
329,11.955151,15.2
330,15.65764,13.0
331,14.893759,24.7
332,26.459452,31.300000000000004
333,24.129286,26.299999999999997
334,25.570797,22.900000000000002
335,25.732412,20.8
336,16.901367,16.8
337,17.979033,13.4
338,19.420444,9.2
339,12.272211,7.7
340,12.918881,6.8
341,11.834527,10.3
342,13.945374,11.7
343,12.960141,10.499999999999998
344,20.713682,12.5
345,17.951542,13.4
346,17.542511,13.5
347,17.346127,13.0
348,9.052755,11.699999999999998
349,10.057255,13.2
350,11.312974,18.2
351,8.583274,15.9
352,9.489457,14.2
353,8.956168,9.9
