,predictions,groundtruths
0,14.200784,39.6
1,12.107617,44.6
2,12.727563,46.1
3,12.588096,44.1
4,13.689943,22.9
5,12.4966955,36.9
6,15.276034,39.79999999999999
7,15.147384,37.7
8,18.513283,46.4
9,23.360008,43.7
10,24.074755,41.3
11,23.726042,45.4
12,31.861803,38.3
13,23.364109,39.1
14,23.121141,37.1
15,22.12033,24.4
16,22.548004,28.8
17,19.02555,30.0
18,22.68712,38.7
19,25.73395,46.0
20,31.200418,41.0
21,38.323795,44.300000000000004
22,40.964867,42.1
23,41.03527,42.9
24,30.5978,42.4
25,23.432829,41.5
26,23.47243,38.1
27,22.83579,35.99999999999999
28,23.67042,28.9
29,20.117199,25.300000000000004
30,23.862595,27.3
31,27.110004,25.9
32,32.93486,26.5
33,39.858154,31.1
34,42.4093,43.5
35,41.811474,41.0
36,28.018608,26.9
37,21.53717,23.0
38,21.731562,20.9
39,21.091936,24.3
40,21.807068,17.9
41,18.799046,15.000000000000002
42,22.321854,16.9
43,25.02247,30.500000000000004
44,30.063938,33.0
45,36.558926,39.3
46,38.450623,37.4
47,38.034874,43.1
48,31.473297,35.1
49,23.17723,41.4
50,22.912153,35.7
51,21.77565,27.5
52,22.018688,22.8
53,19.06466,22.1
54,21.989515,21.5
55,24.66374,25.7
56,28.75369,28.6
57,34.477795,33.8
58,35.338825,23.35
59,34.812973,12.9
60,10.356392,14.300000000000002
61,9.671347,19.4
62,10.524788,18.6
63,10.714042,19.9
64,12.067417,20.2
65,11.071935,17.8
66,14.355693,23.8
67,13.979416,39.3
68,17.725056,33.5
69,23.392378,6.599999999999999
70,25.31904,2.6000000000000005
71,25.34588,2.0
72,4.137076,3.8
73,5.5822477,17.9
74,6.5672207,14.3
75,6.8994823,10.7
76,8.666829,10.8
77,8.502103,11.5
78,11.093912,10.4
79,9.438327,10.1
80,11.693085,9.7
81,15.731246,16.0
82,16.161694,15.900000000000002
83,15.588447,12.9
84,9.966268,7.1
85,8.735796,5.1
86,9.18183,10.7
87,8.7465,9.8
88,9.900746,9.9
89,9.42764,11.6
90,11.746653,16.0
91,10.454734,18.7
92,12.173929,19.000000000000004
93,15.886401,17.2
94,15.572997,15.400000000000002
95,15.027258,8.8
96,6.857669,4.5
97,6.5953345,11.0
98,7.1403728,14.100000000000001
99,6.9132824,11.6
100,8.225855,10.8
101,7.9930973,10.4
102,10.427123,12.1
103,8.6072445,12.0
104,10.518993,13.0
105,14.531668,13.0
106,14.581661,15.2
107,14.347866,15.4
108,11.4753275,23.0
109,9.890839,16.5
110,10.37933,12.499999999999998
111,9.98276,15.9
112,11.221389,14.0
113,10.499166,13.5
114,13.091076,18.3
115,12.311583,19.7
116,14.383454,28.999999999999996
117,18.514374,34.3
118,18.329208,29.1
